index,Cities,density,lat,long,pop,area,province
0,Baglung,150.5678251,28.3563353,83.14253601,"268,613",1784,4
1,Baitadi,165.1731402,29.5086945,80.55856659,"250,898",1519,7
2,Barhabise,193.7240356,27.83989615,85.87340254,"26,114",134.8,3
3,Bhairahawa,1761.948376,27.507196,83.4180283,"63,483",36.03,5
4,Biratnagar,520.4150943,26.4623007,87.281617,"965,370",1855,1
5,Birendranagar,143.126887,28.5987825,81.60590039,"350,804",2451,6
6,Birganj,444.210643,27.012541,84.877998,"601,017",1353,2
7,Butwal,1365.39616,27.699894,83.465996,"138,742",101.613,5
8,Chandragadhi,688.0691232,26.5836584,88.0718257,"50,249",73.029,1
9,Chautara,281.397882,27.776522,85.714256,"46,501",165.25,3
10,Dailekh,174.2809587,28.8710137,81.7034039,"261,770",1502,6
11,Dhangadhi,239.7863988,28.68333,80.567017,"775,709",3235,7
12,Dhankuta,183.4029181,26.9774409,87.343537,"163,412",891,1
13,Dharan,607.3882259,26.7918088,87.27520785,"763,487",1257,1
14,Dhulikhel,273.5938395,27.618921,85.552917,"381,937",1396,3
15,Dhunche,28.04404145,28.112185,85.297249,"43,300",1544,3
16,Dipayal,104.5659259,29.2589437,80.97197473,"211,746",2025,7
17,Gaighat,153.9175957,26.7919,86.699,"317,532",2063,1
18,Gorkha,75.08614958,27.97749565,84.60585945,"271,061",3610,4
19,Hetauda,173.3211047,27.4187156,85.01009335,"420,477",2426,3
20,Ilam,170.4368761,26.88540735,87.92030501,"290,254",1703,1
21,Janakpur,639.6415254,26.7281124,85.93643035,"754,777",1180,2
22,Jiri,85.14696486,27.66741145,86.27281997,"186,557",2191,3
23,Kakarbhitta,1052.588257,26.6462648,88.1574634,"57,545",54.67,1
24,Kathmandu,2799.803115,27.708317,85.3205817,"2,517,023",899,3
25,Krishnanagar,329.0771001,27.5345529,82.81745332,"571,936",1738,5
26,Mahendranagar,280.2782609,29.0067,80.1696,"451,248",1610,7
27,Narayanghat,261.4896303,27.8325298,84.5350072,"579,984",2218,3
28,Nepalgunj,210.2323492,28.0653558,81.6497064,"491,313",2337,5
29,Pokhara,243.9752107,28.209538,83.991402,"492,098",2017,4
30,Rajbiraj,469.027146,26.53629745,86.75813933,"639,284",1363,2
31,Salyan,165.8303694,28.366667,82.166667,"242,444",1462,6
32,Sindhuli,118.9048575,27.18519215,86.07013896,"296,192",2491,3
33,Tansen,190.225783,27.866366,83.5469084,"261,180",1373,5
34,Taplejung,34.9591333,27.61047795,87.82137296,"127,461",3646,1
35,Terhathum,149.5979381,27.1290911,87.5346974,"101,577",679,1
36,Trishuli Bazar,247.5209634,27.9214895,85.14599571,"277,471",1121,3
37,Tulsipur,186.9993232,28.1066179,82.31880502,"552,583",2955,5
