Districts,KANCHANPUR,KAILALI,DARCHULA,DOTI,DADELDHURA,BAJHANG,BAJURA,BAITADI,ACHHAM,RUKUM_W,SALYAN,MUGU,KALIKOT,JUMLA,JAJARKOT,HUMLA,DOLPA,DAILEKH,SURKHET,PYUTHAN,PALPA,NAWALPARASI_W,KAPILBASTU,GULMI,DANG,BARDIYA,RUPANDEHI,BANKE,RUKUM_E,ARGHAKHANCHI,ROLPA,PARBAT,NAWALPARASI_E,MYAGDI,MUSTANG,MANANG,LAMJUNG,KASKI,GORKHA,TANAHU,BAGLUNG,SYANGJA,NUWAKOT,MAKAWANPUR,LALITPUR,KABHREPALANCHOK,KATHMANDU,DOLAKHA,DHADING,CHITAWAN,BHAKTAPUR,RAMECHHAP,RASUWA,SINDHULI,SINDHUPALCHOK,SIRAHA,SARLAHI,SAPTARI,RAUTAHAT,PARSA,MAHOTTARI,DHANUSHA,BARA,SANKHUWASABHA,PANCHTHAR,MORANG,OKHALDHUNGA,KHOTANG,JHAPA,TERHATHUM,UDAYAPUR,ILAM,TAPLEJUNG,DHANKUTA,SUNSARI,BHOJPUR,SOLUKHUMBU
KANCHANPUR,0,60.0288,253.1824,196.012,106.4044,266.6951,316.2295,196.0479,310.2332,440.805,357.8837,585.9603,440.8685,527.9746,371.8328,1450.671,522.62,354.9657,283.9119,392.9098,474.3199,472.942,402.7648,500.0895,334.9068,177.7351,428.6248,214.9861,469.6849,455.0159,440.0231,645.6855,520.3946,676.3859,741.2657,702.8885,652.4978,592.5359,612.7455,627.6954,580.0468,556.5845,677.2439,627.5621,696.8151,724.36,696.3769,866.0515,644.6948,551.8468,708.3662,823.397,720.9656,793.4589,777.9797,918.135,835.7826,982.3184,802.2826,679.4831,834.3881,853.4251,683.1185,1181.4724,1251.6169,1023.9854,1036.381,1064.86,1143.2049,1157.1154,998.0121,1177.2717,1323.378,1097.8307,1010.0902,1196.1083,1078.5389
KAILALI,60.1171,0,254.1412,196.9708,107.3632,267.6539,317.1884,197.0067,311.1921,403.7861,320.8647,548.9413,403.8495,490.9556,334.8138,1413.652,485.601,317.9467,246.8929,355.8908,437.3009,435.9231,365.7458,463.0705,297.8878,140.7161,391.6058,177.9671,432.6659,417.9969,403.0042,608.6665,483.3756,639.3669,704.2467,665.8695,615.4788,555.517,575.7265,590.6764,543.0278,519.5655,640.2249,590.5431,659.7961,687.341,659.3579,829.0325,607.6758,514.8278,671.3472,786.378,683.9467,756.44,740.9607,893.9377,811.5853,958.1211,778.0853,642.4641,810.1907,829.2278,646.0995,1157.2751,1227.4196,999.7881,889.6489,918.1279,1119.0076,1132.9181,973.8148,1153.0744,1299.1807,1073.6334,985.8928,1171.911,931.8068
DARCHULA,253.1617,254.1207,0,185.7442,158.8379,198.0774,305.9618,63.4537,299.9655,634.897,551.9756,526.0712,380.9794,468.0855,565.9248,1644.763,716.7119,419.5267,478.0038,587.0017,668.4118,667.034,596.8567,694.1814,528.9987,371.8271,622.7167,409.0781,663.7768,649.1078,634.1151,839.7774,714.4865,870.4778,935.3576,896.9805,846.5897,786.6279,806.8374,821.7873,774.1388,750.6764,871.3359,821.654,890.9071,918.4519,890.4688,1060.1434,838.7867,745.9387,902.4582,1017.4889,915.0576,987.5509,972.0716,1096.9789,1014.6266,1161.1623,981.1265,873.575,1013.232,1032.269,877.2104,1360.3164,1430.4608,1202.8294,1120.7598,1149.2388,1322.0488,1335.9593,1176.8561,1356.1156,1502.2219,1276.6746,1188.9341,1374.9522,1162.9177
DOTI,196.0329,196.992,185.7303,0,101.7091,199.243,120.2176,128.5958,114.2213,577.7682,494.8469,340.327,195.2353,282.3413,508.796,1587.6342,659.5832,233.7825,271.5861,529.873,611.2831,609.9052,539.728,637.0527,471.87,314.6983,565.5879,351.9493,606.6481,591.9791,576.9863,782.6486,657.3578,813.3491,878.2289,839.8517,789.461,729.4991,749.7086,764.6586,717.01,693.5477,814.2071,764.5253,833.7783,861.3231,833.3401,1003.0147,781.658,688.8099,845.3294,960.3602,857.9288,930.4221,914.9429,1039.8502,957.4978,1104.0336,923.9978,816.4463,956.1032,975.1403,820.0817,1303.1876,1373.3321,1145.7006,1063.6311,1092.1101,1264.9201,1278.8306,1119.7273,1298.9869,1445.0932,1219.5459,1131.8053,1317.8235,1105.789
DADELDHURA,106.4044,107.3635,158.8586,101.6882,0,172.3713,221.9058,101.7241,215.9095,488.1397,405.2184,442.0152,296.9234,384.0295,419.1675,1498.0057,569.9546,402.3003,331.2465,440.2445,521.6546,520.2767,450.0994,547.4241,382.2415,225.0698,475.9594,262.3208,517.0195,502.3506,487.3578,693.0201,567.7293,723.7205,788.6003,750.2232,699.8324,639.8706,660.0801,675.03,627.3815,603.9192,724.5786,674.8968,744.1498,771.6946,743.7116,913.3861,692.0295,599.1814,755.7009,870.7317,768.3003,840.7936,825.3144,950.2217,867.8693,1014.4051,834.3693,726.8178,866.4747,885.5118,730.4531,1213.5591,1283.7035,1056.0721,974.0026,1002.4816,1175.2916,1189.2021,1030.0988,1209.3584,1355.4647,1129.9174,1042.1768,1228.195,1016.1604
BAJHANG,266.6743,267.6334,198.0774,199.2569,172.3506,0,319.4744,140.9429,313.4781,648.4096,565.4883,539.5839,394.4921,481.5982,579.4374,1658.2756,730.2246,433.0394,491.5165,600.5144,681.9245,680.5467,610.3694,707.6941,542.5114,385.3397,636.2294,422.5907,677.2895,662.6205,647.6277,853.2901,727.9992,883.9905,948.8703,910.4931,860.1024,800.1405,820.3501,835.3,787.6514,764.1891,884.8485,835.1667,904.4197,931.9646,903.9815,1073.6561,852.2994,759.4514,915.9708,1031.0016,928.5703,1001.0636,985.5843,1110.4916,1028.1392,1174.675,994.6392,887.0877,1026.7447,1045.7817,890.7231,1373.8291,1443.9735,1216.3421,1134.2725,1162.7515,1335.5615,1349.472,1190.3688,1369.6283,1515.7346,1290.1873,1202.4468,1388.4649,1176.4304
BAJURA,316.2505,317.2096,305.9479,120.2176,221.9267,319.4606,0,248.8134,100.6549,449.8897,361.4503,326.7606,181.6689,268.7749,403.7253,1707.8518,531.7046,220.2162,258.0197,650.0906,731.5007,730.1228,659.9455,757.2702,592.0876,434.9159,685.8055,472.1669,478.7695,712.1967,472.5912,902.8662,777.5754,933.5666,998.4464,960.0693,909.6785,849.7167,869.9262,884.8761,837.2276,813.7653,934.4247,884.7429,953.9959,981.5407,953.5577,1123.2322,901.8756,809.0275,965.547,1080.5778,978.1464,1050.6397,1035.1605,1160.0678,1077.7154,1224.2512,1044.2154,936.6639,1076.3208,1095.3579,940.2992,1423.4052,1493.5496,1265.9182,1183.8487,1212.3277,1385.1377,1399.0482,1239.9449,1419.2045,1565.3108,1339.7635,1252.0229,1438.0411,1226.0065
BAITADI,196.0272,196.9862,63.4537,128.6097,101.7034,140.9429,248.8273,0,242.831,577.7625,494.8411,468.9367,323.8449,410.951,508.7903,1587.6285,659.5774,362.3922,420.8693,529.8672,611.2773,609.8995,539.7222,637.0469,471.8642,314.6926,565.5822,351.9436,606.6423,591.9733,576.9806,782.6429,657.352,813.3433,878.2231,839.846,789.4552,729.4934,749.7029,764.6528,717.0043,693.5419,814.2014,764.5195,833.7726,861.3174,833.3343,1003.0089,781.6522,688.8042,845.3237,960.3544,857.9231,930.4164,914.9371,1039.8444,957.4921,1104.0278,923.992,816.4405,956.0975,975.1345,820.0759,1303.1819,1373.3263,1145.6949,1063.6253,1092.1043,1264.9143,1278.8248,1119.7216,1298.9811,1445.0874,1219.5401,1131.7996,1317.8177,1105.7832
ACHHAM,310.2542,311.2133,299.9516,114.2213,215.9304,313.4643,100.6549,242.8171,0,362.9291,274.4896,239.8,94.7083,181.8143,316.7646,1506.8792,444.744,133.2555,171.0591,449.118,530.5281,529.1502,458.973,556.2977,391.115,296.4329,484.833,271.1943,391.8089,511.2241,385.6306,701.8937,576.6028,732.5941,797.4739,759.0967,708.706,648.7441,668.9536,683.9036,636.255,612.7927,733.4521,683.7703,753.0233,780.5681,752.5851,922.2597,700.903,608.0549,764.5744,879.6052,777.1738,849.6671,834.1879,959.0952,876.7428,1023.2786,843.2428,735.6913,875.3483,894.3853,739.3267,1222.4326,1292.5771,1064.9456,982.8761,1011.3551,1184.1651,1198.0756,1038.9723,1218.2319,1364.3382,1138.7909,1051.0504,1237.0685,1025.034
RUKUM_W,440.8087,403.793,634.8329,577.6625,488.0549,648.3455,697.88,577.6984,691.8837,0,88.4394,494.3702,349.2784,436.3845,205.9829,1328.4116,88.7957,263.3756,192.3218,228.517,352.0605,350.6826,280.5054,242.892,162.3211,282.8527,306.3654,257.6141,35.8606,332.7565,194.0623,225.4173,398.1352,228.3098,299.9088,580.6291,530.2384,279.995,490.486,505.436,133.0209,434.3251,554.9845,505.3027,574.5557,602.1005,574.1175,743.7921,522.4354,429.5873,586.1068,701.1376,598.7062,671.1995,655.7203,705.7482,625.7789,747.7119,614.4392,557.2237,725.1053,667.6728,560.8591,1072.1897,1142.3341,914.7027,804.4085,832.8875,1033.9221,1047.8326,739.8271,1067.9889,1214.0952,988.5479,900.8074,1086.8255,846.5664
