_id,District Headquarter,District,Length,province,lat,long
1,Taplegung*,Taplejung,835.3,,,
2,Phidim*,Panchthar,748.8,,,
3,Ilam*,Ilam,681.88,,,
4,Chandragadhi*,Jhapa,612.72,,,
5,Terathum*,Terathum,655.12,,,
6,Dhankuta*,Dhankuta,594.2,,,
7,Biratnagar*,Morang,548.77,,,
8,Inaruwa*,Sunsari,507.91,,,
9,Okhaldunga*,Okhaldhunga,507.79,,,
10,Gaighat*,Udayapur,453.25,,,
11,Rajbiraj*,Saptari,457.23,,,
12,Siraha*,Siraha,417.15,,,
13,Sindhulimadi*,Sindhuli,387,,,
14,Janakpur*,Dhanusa,381.82,,,
15,Jaleswor*,Mohottari,397.76,,,
16,Malangawa*,Sarlahi,344.16,,,
17,Gaur*,Rautahat,334.61,,,
18,Kalaiya*,Bara,283.55,,,
19,Birgunj*,Parsa,276.12,,,
20,Hetauda*,Makwanpur,221.01,,,
21,Bidur,Nuwakot,70,,,
22,Dhunche,Rasuwa,118.26,,,
23,Dhulikhel,Kavre,30,,,
24,Chautara,Sindhupalchok,84.21,,,
25,Charikot,Dolakha,131.72,,,
26,Dhanding,Dhanding,85.16,,,
27,Bharatpur,Chitwan,146.28,,,
28,Lalitpur,Lalitpur,3,,,
29,Manthali,Ramechhap,188.92,,,
30,Beni,Myagdi,288.55,,,
31,Gorkha,Gorkha,140.48,,,
32,Besishahar,Lamjung,175.54,,,
33,Damauli,Tanahun,150.05,,,
34,Pokhara,Kaski,198.55,,,
35,Kusma,Parbat,251.55,,,
36,Baglung,Baglung,271.13,,,
37,Syangja,Syangja,235.67,,,
38,Tansen(via Butwal),Palpa,299.47,,,
39,Tamghas(via Butwal),Gulmi,375.06,,,
40,Bhairahawa(via Butwal),Rupandehi,278.41,,,
41,Parasi,Nawalparasi,245.85,,,
42,Taulihawa,Kapilbastu,309.14,,,
43,Sandhikharka,Argakhachi,374.87,,,
44,Gorahi,Dang,409.23,,,
45,Salyan,Salyan,495.66,,,
46,Pyuthan,Pyuthan,427.73,,,
47,Liwang,Rolpa,467.09,,,
48,Surkhet,Surkhet,580.41,,,
49,Nepalgunj,Banke,510.07,,,
50,Gulariya,Bardiya,543.4,,,
51,Dhangadhi,Kailali,664.42,,,
52,Dadeldhura,Dadeldhura,769.72,,,
53,Silgadhi,Doti,832.66,,,
54,Baitadi,Baitadi,854.53,,,
55,Mahendranagar,Kanchanpur,692.31,,,
56,Bhaktapur(Suryabinayak),Bhaktapur,14,,,
57,Dailekh,Dailekh,647.41,,,
58,Mangalsen,Achham,938.16,,,
59,Musikot(via Ghorahi),Rukum,571.86,,,
60,Manma,Kalikot,738.8,,,
61,Jumla Khalanga,Jumla,817.8,,,
62,Darchula,Darchula,960.86,,,
63,Khandbari,Sankhuwasabha,685.2,,,
64,Solusalleri,Solukhumbu,565.69,,,
65,Diktel,Khotang,704.51,,,
66,Bhojpur,Bhojpur,794.51,,,
67,Jomsom,Mustang,368.55,,,
68,Martadi,Bajura,972.93,,,
69,Jajarkot,Jajarkot,662.01,,,
70,Chainpur,Bajhang,903.48,,,
71,Chame,Manang,240.54,,,
72,Gamgadhi,Mugu,893.8,,,
