_id,District Headquarter,District,Length,province,long,lat
1,Taplegung*,Taplejung,835.3,1,87.5515,27.5052
2,Phidim*,Panchthar,748.8,1,,
3,Ilam*,Ilam,681.88,1,,
4,Chandragadhi*,Jhapa,612.72,1,87.8273,26.6556
5,Terathum*,Terathum,655.12,1,,
6,Dhankuta*,Dhankuta,594.2,1,,
7,Biratnagar*,Morang,548.77,1,87.2757,26.5248
8,Inaruwa*,Sunsari,507.91,1,,
9,Okhaldunga*,Okhaldhunga,507.79,1,86.1987,27.4007
10,Gaighat*,Udayapur,453.25,1,,
11,Diktel,Khotang,704.51,1,86.3957,27.3157
12,Bhojpur,Bhojpur,794.51,1,86.7372,27.6425
13,Khandbari,Sankhuwasabha,685.2,1,86.9211,27.3157
14,Solusalleri,Solukhumbu,565.69,1,86.8817,27.3157
15,Rajbiraj*,Saptari,457.23,2,86.3563,26.7078
16,Siraha*,Siraha,417.15,2,,
17,Janakpur*,Dhanusa,381.82,2,85.9361,26.7928
18,Jaleswor*,Mohottari,397.76,2,,
19,Malangawa*,Sarlahi,344.16,2,,
20,Gaur*,Rautahat,334.61,2,,
21,Kalaiya*,Bara,283.55,2,,
22,Birgunj*,Parsa,276.12,2,85.0955,27.1458
23,Kathmandu*,Kathmandu,0,3,85.1743,27.7405
24,Sindhulimadi*,Sindhuli,387,3,,
25,Hetauda*,Makwanpur,221.01,3,,
26,Bidur,Nuwakot,70,3,,
27,Dhunche,Rasuwa,118.26,3,,
28,Dhulikhel,Kavre,30,3,,
29,Chautara,Sindhupalchok,84.21,3,,
30,Charikot,Dolakha,131.72,3,,
31,Dhanding,Dhanding,85.16,3,,
32,Bharatpur,Chitwan,146.28,3,84.36,27.636
33,Lalitpur,Lalitpur,3,3,,
34,Manthali,Ramechhap,188.92,3,85.9361,27.3615
35,Bhaktapur(Suryabinayak),Bhaktapur,14,3,,
36,Beni,Myagdi,288.55,4,,
37,Gorkha,Gorkha,140.48,4,,
38,Besishahar,Lamjung,175.54,4,,
39,Damauli,Tanahun,150.05,4,,
40,Pokhara,Kaski,198.55,4,83.677,28.27
41,Kusma,Parbat,251.55,4,,
42,Baglung,Baglung,271.13,4,,
43,Syangja,Syangja,235.67,4,,
44,Jomsom,Mustang,368.55,4,83.7952,28.7144
45,Chame,Manang,240.54,4,83.9134,28.6491
46,Kawasoti,Nawalpur,245.85,4,,
47,Tansen(via Butwal),Palpa,299.47,5,,
48,Tamghas(via Butwal),Gulmi,375.06,5,,
49,Bhairahawa(via Butwal),Rupandehi,278.41,5,82.6263,27.9432
50,Ramgram,Parasi,245.85,5,,
51,Taulihawa,Kapilbastu,309.14,5,,
52,Sandhikharka,Argakhachi,374.87,5,,
53,Gorahi,Dang,409.23,5,81.8645,28.4138
54,Pyuthan,Pyuthan,427.73,5,,
55,Liwang,Rolpa,467.09,5,,
56,Nepalgunj,Banke,510.07,5,81.4442,28.4007
57,Gulariya,Bardiya,543.4,5,,
58,Rukumkot(via Ghorahi),East Rukum,571.86,5,,
59,Salyan,Salyan,495.66,6,,
60,Surkhet,Surkhet,580.41,6,81.6544,28.9563
61,Dailekh,Dailekh,647.41,6,,
62,Musikot(via Ghorahi),West Rukum,571.86,6,82.0878,28.7929
63,Manma,Kalikot,738.8,6,,
64,Jumla Khalanga,Jumla,817.8,6,82.4424,29.0674
65,Jajarkot,Jajarkot,662.01,6,,
66,Gamgadhi,Mugu,893.8,6,,
67,Dhangadhi,Kailali,664.42,7,80.6168,28.8386
68,Dadeldhura,Dadeldhura,769.72,7,,
69,Silgadhi,Doti,832.66,7,81.0896,29.2765
70,Baitadi,Baitadi,854.53,7,80.4723,29.2615
71,Mahendranagar,Kanchanpur,692.31,7,80.3188,28.9819
72,Mangalsen,Achham,938.16,7,81.523,29.3288
73,Darchula,Darchula,960.86,7,80.7875,29.7863
74,Martadi,Bajura,972.93,7,82.3767,29.4465
75,Chainpur,Bajhang,903.48,7,81.4836,29.5837
